김영균,넌 네게 반했어,mbc,2008-04-21,12.1,다함께 차차차,kbs1,2009-06-29,37.3,매리는 외박중,kbs2,2010-11-08,9,스파이 명월,kbs2,2011-07-11,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김영조,노란손수건,kbs1,2003-02-03,36.9,포도밭 그 사나이,kbs2,2006-07-24,14.1,아이리스,kbs2,2009-10-14,35.5,신데렐라 언니,kbs2,2010-03-31,20.2,근초고왕,kbs1,2010-11-06,12.9,징비록,kbs1,2015-02-14,13.8,장영실,kbs1,2016-01-02,14.1,오 마이 금비,kbs2,2016-11-16,7.2,화랑,kbs2,2016-12-19,13.1,99억의 여자,kbs2,2019-12-04,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김용수,화이트 크리스마스,kbs2,2011-01-30,4.9,적도의 남자,kbs2,2012-03-21,15.2,칼의 꽃,kbs2,2013-07-03,6.7,아이언 맨,kbs2,2014-09-10,6.9,복면검사,kbs2,2015-05-20,6.9,베이비시터,kbs2,2016-03-14,3.5,달리는 조사관,ocn,2019-09-18,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김원석,열여덟 스물아홉,kbs2,2005-03-07,18.5,TV소설 고향역,kbs1,2005-08-29,17.5,TV소설 강이 되어 만나리,kbs1,2006-03-20,16.8,대왕세종,kbs2,2008-01-05,23,파트너,kbs2,2009-06-24,12.7,신데렐라 언니,kbs2,2010-03-31,20.2,성균관 스캔들,kbs2,2010-08-30,14.3,몬스타,tvn,2013-05-17,1.3,미생,tvn,2014-10-17,8.2,시그널,tvn,2016-01-22,12.5,나의 아저씨,tvn,2018-03-21,7.4,아스달 연대기,tvn,2019-06-01,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김정규,낭랑 18세,kbs2,2004-01-19,,불멸의 이순신,kbs1,2004-09-04,33.1,위대한 유산,kbs2,2006-05-03,8.9,아이 엠 샘,kbs2,2007-08-06,10.6,결혼 못하는 남자,kbs2,2009-06-15,8.8,국가가 부른다,kbs2,2010-05-10,7.6,사랑을 믿어요,kbs2,2011-01-01,31.2,감격시대 : 투신의 탄생,kbs2,2014-01-15,12.6,가족끼리 왜 이래,kbs2,2014-08-16,43.3,아이가 다섯,kbs2,2016-02-20,32.8,생일편지,kbs2,2019-09-11,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김정민,일단뛰어,kbs2,2006-11-23,6.5,2008 전설의 고향,kbs2,2008-08-06,20.1,2009 전설의 고향,kbs2,2009-08-10,6.4,공주의 남자,kbs2,2011-07-20,24.9,조선총잡이,kbs2,2014-06-25,12.8,대군 - 사랑을 그리다,tv조선,2018-03-03,5.6,간택 - 여인들의 전쟁,tv조선,2019-12-14,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김정현,비밀,kbs2,2013-09-25,18.9,태양은 가득히,kbs2,2014-02-17,5.2,스파이,kbs2,2015-01-09,8.5,저글러스,kbs2,2017-12-04,9.9,옥란면옥,kbs2,2018-09-26,5.3,국민 여러분!,kbs2,2019-04-01,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김종연,"힘내요, 미스터 김!",kbs1,2012-11-05,30.8,아이언 맨,kbs2,2014-09-10,6.9,별난 며느리,kbs2,2015-08-17,6,마스터 - 국수의 신,kbs2,2016-04-27,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김종창,첫사랑,kbs2,1996-09-07,65.8,그대 나를 부를 때,kbs2,1997-09-24,,종이학,kbs2,1998-10-31,,햇빛사냥,kbs2,2002-03-25,,노란손수건,kbs1,2003-02-03,36.9,애정의 조건,kbs2,2004-03-20,45.4,장밋및 인생,kbs2,2005-08-24,41.1,행복한 여자,kbs2,2007-01-06,32.5,미워도 다시 한 번 2009,kbs2,2009-02-04,20.4,가시나무새,kbs2,2011-03-02,14.2,MISS 맘마미아,kbs drama,2015-01-28,,세상에서 제일 예쁜 내 딸,kbs2,2019-03-23,35.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김진우,난폭한 로맨스,kbs2,2012-01-04,7.1,굿 닥터,kbs2,2013-08-05,21.5,힐러,kbs2,2014-12-08,10.3,추리의 여왕,kbs2,2017-04-05,11.6,슈츠,kbs2,2018-04-25,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
