title,genre1,genre2,start_date,end_date,day,time,num_eps,channel,next_drama,overview,pd1,pd2,pd3,wr1,wr2,wr3,ac1,ac2,ac3,ac4,first_rate,avg_rate,rate_25,prev,prev_25
꽃길만 걸어요,,,2019-10-28,2020-04-17,월~금,오후 8:30,123,kbs1,기막힌 유산,진흙탕 시댁살이를 굳세게 견뎌 온 열혈 주부 강여원과 가시밭길 인생을 꿋꿋이 헤쳐 온 초긍정남 봉천동의 심장이 쿵쿵 뛰는 인생 리셋 드라마,박기현,,,채혜영,나승현,,최윤소,설정환,심지호,정유민,,,,,
우아한 모녀,미스터리,멜로,2019-11-04,2020-03-27,월~금,오후 7:50,103,kbs2,위험한 약속,엄마에 의해 복수의 도구로 키워진 여자와 그녀를 둘러싼 위험한 사랑을 다룬 멜로드라마,어수선,,,오상희,,,최명길,차예련,김흥수,김명수,,,,,
사랑은 뷰티풀 인생은 원더풀,가족,로맨틱 코미디,2019-09-28,2020-03-22,"토, 일",오후 7:55,100,kbs2,한 번 다녀왔습니다,"뭔가 되기 위해 애썼으나 되지 못한 보통사람들의 인생재활극으로, 울퉁불퉁 보잘것없는 내 인생을 다시 사랑하고 소소하지만 확실한 행복을 찾아가는 '소확행' 드라마",한준서,,,배유미,,,설인아,김재영,조윤희,윤박,,,,,
두 번은 없다,복수,가족,2019-11-02,2020-03-07,토,오후 9:05,72,mbc,,"서울 한복판의 오래된 '낙원여인숙'에 모여든 투숙객들이 인생에 '두 번은 없다'를 외치며 실패와 상처를 딛고 재기를 꿈꾸는 유쾌, 상쾌, 통쾌한 사이다 도전기",최원석,박상우,,구현숙,,,윤여정,박세완,곽동연,오지호,,,,,
사랑의 불시착,로맨스,,2019-12-14,2020-02-16,"토, 일",오후 9:10,16,tvn,"하이바이, 마마!",어느 날 돌풍과 함께 패러글라이딩 사고로 북한에 불시착한 재벌 상속녀 윤세리와 그녀를 숨기고 지키다 사랑하게 되는 특급 장교 리정혁의 절대 극비 러브스토리를 그린 드라마,이정효,,,박지은,,,현빈,손예진,서지혜,김정현,,,,,
스토브리그,스포츠,,2019-12-13,2020-02-14,"금, 토",오후 10:00,16,sbs,하이에나,팬들의 눈물마저 마른 꼴찌팀에 새로 부임한 단장이 남다른 시즌을 준비하는 뜨거운 겨울 이야기,정동윤,,,이신화,,,남궁민,박은빈,오정세,조병규,,,,,
검사내전,,,2019-12-16,2020-02-11,"월, 화",오후 9:30,16,jtbc,날씨가 좋으면 찾아가겠어요,미디어 속 화려한 법조인이 아닌 지방도시 진영에서 하루하루 살아가는 평범한 '직장인 검사'들의 이야기,이태곤,,,이현,서자연,,이선균,정려원,이성재,김광규,,,,,
간택 - 여인들의 전쟁,로맨스,사극,2019-12-14,2020-02-09,"토, 일",오후 10:50,16,tv조선,,"정통 왕조 이 씨가 아닌 자들에게 유일하게 허락된 조선 최고의 지위, '왕비'의 자리를 노리는 이들의 목숨 건 경합이 벌어지는 궁중 서바이벌 로맨스를 그린 이야기",김정민,,,최수미,,,진세연,김민규,도상우,이열음,,,,,
블랙독,휴먼,힐링,2019-12-16,2020-02-04,"월, 화",오후 9:30,16,tvn,방법,기간제 교사가 된 사회 초년생 고하늘이 우리 삶의 축소판인 '학교'에서 꿈을 지키며 살아남기 위해 고군분투하는 이야기,황준혁,,,박주연,,,서현진,라미란,하준,이창훈,,,,,
99억의 여자,스릴러,서스펜스,2019-12-04,2020-01-23,"수, 목",오후 10:00,32,kbs2,포레스트,우연히 현찰 99억을 움켜쥔 여자가 세상과 맞서 싸우는 이야기,김영조,유관모,,한지훈,,,조여정,김강우,정웅인,오나라,,,,,
