강다영,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강윤경,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이숙진,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이영철,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이유진,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이윤종,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이은영,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이재곤,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이재연,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이재하,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이정우,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이진매,KBS 미니시리즈 극본공모전 가작,2009,,,,,,,,,,,,,,,,,,,,,,,,,,
이향희,동아일보 신춘문예 희곡부문,1998,,,,,,,,,,,,,,,,,,,,,,,,,,
이현주,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인은아,,,,,,,,,,,,,,,,,,,,,,,,,,,,
임상춘,KBS 연기대상 작가상,2019,백상예술대상 TV부문 극본상,2020,,,,,,,,,,,,,,,,,,,,,,,,
임서라,,,,,,,,,,,,,,,,,,,,,,,,,,,,
임예진,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장은미,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전유리,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전현진,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전호성,,,,,,,,,,,,,,,,,,,,,,,,,,,,
정도윤,KBS 미니시리즈극본공모 우수상,2009,,,,,,,,,,,,,,,,,,,,,,,,,,
정수미,,,,,,,,,,,,,,,,,,,,,,,,,,,,
정유경,,,,,,,,,,,,,,,,,,,,,,,,,,,,
정진영,,,,,,,,,,,,,,,,,,,,,,,,,,,,
정찬미,,,,,,,,,,,,,,,,,,,,,,,,,,,,
정현민,KBS 극본공모 가작,2009,한국방송대상 작가상,2014,코리아 드라마 어워즈 작가상,2014,대한민국 콘텐츠 대상 국무총리 표창,2014,KBS 연기대상 작가상,2014,방송통신위원회 방송대상 방송작가상,2015,한국방송작가상 드라마부문,2019,,,,,,,,,,,,,,
정현정,,,,,,,,,,,,,,,,,,,,,,,,,,,,
조규원,,,,,,,,,,,,,,,,,,,,,,,,,,,,
조명주,,,,,,,,,,,,,,,,,,,,,,,,,,,,
조용,,,,,,,,,,,,,,,,,,,,,,,,,,,,
조정주,,,,,,,,,,,,,,,,,,,,,,,,,,,,
조혜빈,,,,,,,,,,,,,,,,,,,,,,,,,,,,
주화미,,,,,,,,,,,,,,,,,,,,,,,,,,,,
진수완,,,,,,,,,,,,,,,,,,,,,,,,,,,,
채승대,KBS TV드라마 단막극 극본공모전 최우수작,2012,,,,,,,,,,,,,,,,,,,,,,,,,,
천성일,,,,,,,,,,,,,,,,,,,,,,,,,,,,
최민기,,,,,,,,,,,,,,,,,,,,,,,,,,,,
최순식,한국PD연합회 이달의 피디상,2006,,,,,,,,,,,,,,,,,,,,,,,,,,
최윤교,MBC 극본공모 미니시리즈부문 가작,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
최이랑,,,,,,,,,,,,,,,,,,,,,,,,,,,,
최진영,,,,,,,,,,,,,,,,,,,,,,,,,,,,
최진원,MBC 연기대상 코미디 작가상,1995,,,,,,,,,,,,,,,,,,,,,,,,,,
최현옥,,,,,,,,,,,,,,,,,,,,,,,,,,,,
최호철,SBS TV 문학상 공모전 과학부문 우수작,2003,부산영상위원회 시나리오 공모전 최우수상,2005,영화진흥위원회 한국영화시나리오마켓 극영화 시나리오 부문 우수작품 입선,2008,한국영화 컨텐츠공모전 대상,2008,코리아드라마페스티벌 창작극본 공모 가작,2010,KBS 미니시리즈 극본 공모전 우수상,2012,,,,,,,,,,,,,,,,
한상운,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한정훈,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한지완,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한지훈,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한희정,,,,,,,,,,,,,,,,,,,,,,,,,,,,
허성혜,KBS 단막극 극본 공모 가작,2009,,,,,,,,,,,,,,,,,,,,,,,,,,
허지영,KBS 미니시리즈 극본공모전 가작,2009,,,,,,,,,,,,,,,,,,,,,,,,,,
홍미란,MBC 드라마대상 미니시리즈부문 올해의 작가상,2011,한국PD대상 TV작가부문,2012,대중문화예술상 문화체육관광부장관표창,2012,,,,,,,,,,,,,,,,,,,,,,
홍승현,,,,,,,,,,,,,,,,,,,,,,,,,,,,
홍정은,MBC 드라마대상 미니시리즈부문 올해의 작가상,2011,한국PD대상 TV작가부문,2012,대중문화예술상 문화체육관광부장관표창,2012,,,,,,,,,,,,,,,,,,,,,,
홍진아,,,,,,,,,,,,,,,,,,,,,,,,,,,,
황다은,,,,,,,,,,,,,,,,,,,,,,,,,,,,
황영아,,,,,,,,,,,,,,,,,,,,,,,,,,,,
황은경,,,,,,,,,,,,,,,,,,,,,,,,,,,,
